Actual Price,Predicted Price
4624.31,4371.586799999996
2424.09,2839.3178600000047
4021.45,3806.4450000000006
332.68,795.917779999997
5107.79,4427.9634600000045
6799.41,6313.764599999983
5387.15,5410.702720000008
2905.35,3074.260360000003
1898.06,1974.726180000003
2117.93,2645.4063399999973
2478.15,2621.9418800000017
1537.52,2251.029600000004
3510.73,3264.94752
2215.75,2352.8997200000017
3165.47,3123.365600000004
1824.21,2283.9489399999984
5502.23,4570.031580000002
5049.59,5685.704780000004
2434.17,2796.302179999999
2120.1,2391.578100000001
4352.02,4581.822220000003
1601.21,1873.7730999999983
1911.61,2186.64608
297.09,645.0073
8743.08,6823.278860000003
7276.84,6192.705019999999
2661.18,2555.13702
2067.28,2425.2573399999997
2815.69,2755.6252000000036
6230.95,5633.152340000006
1565.93,2280.195419999996
2041.33,2370.6309200000023
2049.26,2385.6080000000015
2369.26,2760.461680000001
2126.14,2346.9113400000033
5272.28,5980.761880000001
1808.42,2135.9283799999967
2382.82,2727.058819999999
3596.7,3310.528559999998
4329.93,4228.774579999994
6138.2,5502.440380000005
5219.63,4657.983419999996
2299.59,2637.79464
2427.65,2622.9846800000005
2211.89,2600.50574
2398.15,2524.2972800000002
2067.6,2349.3116799999975
2369.04,2615.7911999999997
1637.11,2196.1700599999976
1996.93,2294.092000000001
1781.93,2408.359799999998
1935.03,2334.771379999999
1533.37,2078.175080000009
2262.39,2450.28162
7323.04,6329.765060000001
358.28,834.4596799999995
2743.75,2960.542179999998
5753.04,5437.096800000009
2075.63,2575.9783000000007
2638.09,2843.6492599999956
2973.39,2967.549160000001
296.95,742.3385399999989
358.94,788.6991199999987
2314.46,2597.43922
5078.75,5396.89778
1267.27,1995.8737800000017
2829.88,3010.3091399999994
1982.01,2240.723619999997
1267.55,1895.4360000000056
2263.03,2392.689579999999
8941.78,7419.2046
3603.06,3257.5416000000027
2241.61,2509.1880199999946
2801.42,2887.6421799999994
2175.86,2373.1654199999984
2806.26,2836.385739999999
425.15,1021.6676799999988
2893.2,2782.9124199999965
2088.61,2268.6425199999985
2127.79,2416.8441799999996
2800.75,2758.7589999999977
1483.64,2071.0774800000017
3873.63,3775.3663399999914
7461.4,5833.174320000014
2406.45,2584.000719999999
6306.48,6169.417419999991
6373.54,6220.225480000001
433.69,887.1185199999981
381.03,709.4846599999986
4983.85,4333.200179999998
1718.4,2212.853000000003
4028.08,3969.498079999998
1757.58,2377.384119999997
7670.26,6086.337420000007
2569.81,2665.296960000003
1565.3,1875.3789399999978
1827.59,2114.212480000004
7200.02,6448.935740000002
324.52,628.9455599999993
3011.08,2947.412580000002
3137.73,3243.335999999998
7178.76,6430.740419999983
2917.3,2818.638600000001
2857.66,2832.4308999999994
2196.12,2640.354720000001
1439.87,1837.0626200000052
2346.17,2628.2430400000017
3606.99,3443.9994399999987
2162.17,2496.927900000003
6947.42,6419.757219999987
4445.62,4395.207980000001
4174.28,3987.5173599999926
2632.77,2848.6904400000026
281.19,827.5211600000006
299.91,728.5912799999979
5858.91,6183.169020000006
334.61,898.7541599999993
7257.75,6612.8806
350.88,739.0416599999995
247.92,624.2843799999996
5800.21,4766.335899999997
2240.21,2400.4917800000003
2525.18,2638.621719999998
1725.91,2228.532940000002
2016.12,2543.4898199999993
2815.45,2852.8881599999995
2712.6,2754.6976000000004
4713.24,4209.4911999999995
1802.63,2348.9314800000016
2363.15,2499.1601800000003
2010.17,2198.323820000003
2460.3,2679.8760399999987
2429.26,2697.9562199999987
2642.29,2761.373419999999
2754.95,2995.0867799999937
2307.15,2611.418820000002
1577.76,2141.2801399999985
5836.5,6269.200440000003
7184.95,5887.266840000009
2644.92,3110.811960000001
4639.19,4548.782939999995
2108.91,2451.2089000000005
8328.74,6717.37482
1621.7,2289.483399999994
8213.17,6770.466540000006
6113.47,4725.34922
2292.83,2537.333440000003
4423.73,4369.853140000005
7594.01,6260.1564400000025
2894.33,2803.8315200000015
3101.1,2943.3197800000003
3540.29,3711.5292999999965
4974.6,4665.260860000003
359.86,1206.6931600000003
1574.44,2209.4385600000005
3502.79,3310.2515800000033
3210.03,3166.4625799999967
2748.56,2873.1319199999966
2175.57,2411.8840599999994
1617.04,1977.2504800000027
1986.3,2363.7922599999974
1733.87,2321.852160000005
2484.74,2908.3061199999966
2676.83,2822.8594400000015
5615.21,5931.894619999998
1962.08,2345.3653400000057
2007.23,2114.496800000002
2138.95,2366.3149600000033
2855.05,2854.0717399999976
2196.4,2504.5798999999943
343.11,783.7879800000002
4379.18,4152.850959999994
2146.56,2438.072340000001
1441.35,2045.5653999999993
2288.03,2684.66936
8214.69,6462.1803599999985
2957.69,2807.1676999999963
1425.74,1863.1447200000048
2082.61,2630.52154
3245.38,3758.427359999997
4692.89,4192.397579999995
2844.11,2806.4428000000007
6940.87,6479.3115600000065
395.23,895.7183199999986
2461.86,2449.5560399999986
1993.94,2204.8519600000045
2391.54,2706.783700000003
427.34,655.5553799999989
293.47,924.2507399999987
2986.72,2876.75874
8673.55,7468.752460000009
440.89,1179.3835799999997
2071.76,2388.013460000003
1980.26,2512.011440000003
2817.16,2939.2594600000034
4552.7,3956.4383999999977
1438.98,1936.1623000000031
6237.51,5787.6334000000015
2508.89,2703.707660000001
2137.84,2663.914480000003
