iter	Logloss
0	0.6813057984
1	0.669693975
2	0.6586435016
3	0.6468525382
4	0.6354414312
5	0.6243311725
6	0.6131260929
7	0.6024475515
8	0.5928248827
9	0.5834426247
10	0.5744554722
11	0.5647753892
12	0.555486061
13	0.5469562566
14	0.5380146846
15	0.5297824119
16	0.5209996434
17	0.5128691159
18	0.5052008161
19	0.4973122226
20	0.4904204271
21	0.4828402556
22	0.4758913272
23	0.46909402
24	0.4619945063
25	0.4557301707
26	0.4489076984
27	0.4422534247
28	0.4357142758
29	0.4294215551
30	0.4233657182
31	0.4174105491
32	0.411175455
33	0.4056460441
34	0.4002825695
35	0.3948021553
36	0.3902626042
37	0.3851891744
38	0.3805497822
39	0.3758356701
40	0.3709980059
41	0.3661538768
42	0.3621734135
43	0.3580938227
44	0.3541044259
45	0.3503478719
46	0.3458786716
47	0.3417817526
48	0.3378139382
49	0.3338227525
50	0.3299004564
51	0.3261751854
52	0.3226191794
53	0.3192934725
54	0.3159796995
55	0.312549835
56	0.3094114356
57	0.306299449
58	0.3029528661
59	0.2999949643
60	0.2972754128
61	0.2943147491
62	0.2913510913
63	0.2887000423
64	0.2861614011
65	0.2832848917
66	0.2808557496
67	0.2781072483
68	0.2754382217
69	0.2731461288
70	0.2709334643
71	0.2685102136
72	0.2660502992
73	0.2636635107
74	0.2612241968
75	0.2591795759
76	0.2570823706
77	0.2551559121
78	0.2532045762
79	0.2513993594
80	0.2496138218
81	0.2475512895
82	0.2454438681
83	0.2436252341
84	0.2417862449
85	0.2401533962
86	0.2384951195
87	0.2367517562
88	0.2352760119
89	0.2335572639
90	0.2321270542
91	0.2306416019
92	0.2290047534
93	0.2276271794
94	0.2261810233
95	0.2248233884
96	0.2233644779
97	0.2219534542
98	0.2205441563
99	0.2195040113
100	0.218442178
101	0.2174138278
102	0.2160588065
103	0.2146228768
104	0.2136748346
105	0.2126378527
106	0.2113628902
107	0.2100262953
108	0.209107602
109	0.2082074297
110	0.2072738015
111	0.2062664411
112	0.2050483915
113	0.2041798922
114	0.2032528883
115	0.2022352496
116	0.201575989
117	0.2008631064
118	0.1998261904
119	0.1988047964
120	0.1978564631
121	0.197080146
122	0.1961085522
123	0.1952676905
124	0.1943600288
125	0.1935133151
126	0.1926059484
127	0.1917367961
128	0.1908585576
129	0.1901742044
130	0.1893457362
131	0.1885793075
132	0.1879908952
133	0.1872660392
134	0.1864967044
135	0.1857134753
136	0.1849251818
137	0.1843878373
138	0.1835954228
139	0.1830022839
140	0.1822132527
141	0.1816419946
142	0.181143343
143	0.1804266931
144	0.1798094968
145	0.1791213362
146	0.1783379811
147	0.1776682534
148	0.1770058511
149	0.1763861829
150	0.1759723721
151	0.1754359298
152	0.1748999478
153	0.1744549652
154	0.1737591918
155	0.1733922305
156	0.1725931225
157	0.1721327381
158	0.1714619316
159	0.1710071723
160	0.1703511213
161	0.1696805952
162	0.1692467131
163	0.1689151329
164	0.1685702157
165	0.168041759
166	0.1673947628
167	0.1668149716
168	0.1662572481
169	0.1658781025
170	0.1655579186
171	0.1650783871
172	0.1644719258
173	0.1641207624
174	0.1636961806
175	0.1629879063
176	0.1622916774
177	0.1618436292
178	0.1612603389
179	0.161011707
180	0.1605997622
181	0.1602771732
182	0.1597981731
183	0.1595914568
184	0.1589980781
185	0.1586087801
186	0.1583482252
187	0.1578945898
188	0.1573790198
189	0.1569633374
190	0.1565791521
191	0.1560860721
192	0.1556401097
