iter	MultiClass
205	2.501190541
206	2.487831222
207	2.475189928
208	2.464840134
209	2.447319265
210	2.436076571
211	2.42443009
212	2.407935966
213	2.392431439
214	2.37649124
215	2.362939316
216	2.354281908
217	2.3363932
218	2.322226928
219	2.30814904
220	2.293817109
221	2.279470963
222	2.264465757
223	2.251187178
224	2.235781922
225	2.222288788
226	2.209049513
227	2.196048162
228	2.180205739
229	2.164099672
230	2.148710689
231	2.133077959
232	2.118123256
233	2.105190459
234	2.089141342
235	2.082272167
236	2.068949146
237	2.055263662
238	2.045319541
239	2.030839982
240	2.016840703
241	2.002040068
242	1.991835272
243	1.97785369
244	1.966380505
245	1.952528787
246	1.939444265
247	1.924854557
248	1.913223076
249	1.900714153
250	1.886948365
251	1.873390338
252	1.861380115
253	1.847632054
254	1.834394991
255	1.823851315
256	1.811772194
257	1.797072863
258	1.784514694
259	1.77104401
260	1.761052366
261	1.750981422
262	1.737870931
263	1.72559283
264	1.716676232
265	1.704631488
266	1.694420058
267	1.680509662
268	1.666869001
269	1.654886352
270	1.642171877
271	1.632698122
272	1.622570131
273	1.609113219
274	1.598854889
275	1.58928903
276	1.576195663
277	1.565625145
278	1.556730105
279	1.549193301
280	1.537476111
281	1.526247783
282	1.516483526
283	1.506385032
284	1.499932894
285	1.489592157
286	1.477769062
287	1.467601794
288	1.457687247
289	1.446074733
290	1.436489709
291	1.430877945
292	1.419683698
293	1.408978196
294	1.399722264
295	1.388338481
296	1.377419369
297	1.366034219
298	1.355824365
299	1.346650433
300	1.335636521
301	1.326720426
302	1.315316816
303	1.307003895
304	1.29772654
305	1.287624218
306	1.277543647
307	1.270795226
308	1.260833528
309	1.251052608
310	1.24235437
311	1.23300457
312	1.223364278
313	1.212891185
314	1.202932496
315	1.193658488
316	1.187436968
317	1.178248446
318	1.16973161
319	1.161574942
320	1.151974403
321	1.142743615
322	1.134655789
323	1.125767796
324	1.116592264
325	1.108762967
326	1.101181664
327	1.09483448
328	1.086569145
329	1.077833837
330	1.069177418
331	1.062983441
332	1.055000003
333	1.046648496
334	1.038887593
335	1.031608482
336	1.026120163
337	1.01800008
338	1.010520044
339	1.002730332
340	0.9953411401
341	0.9894687679
342	0.9827716471
343	0.9769532166
344	0.9701027817
345	0.9639421726
346	0.9585677041
347	0.9523180906
348	0.946043291
349	0.9386096909
350	0.9320354385
351	0.9251649992
352	0.9203360919
353	0.9142695433
354	0.908673332
355	0.903081276
356	0.8966895882
357	0.8898858065
358	0.8843474291
359	0.8784044225
360	0.8720954216
361	0.8659804332
362	0.8599948694
363	0.854633815
364	0.8482259598
365	0.8430912334
366	0.8372190077
367	0.8314758509
368	0.8261598296
369	0.8199964203
370	0.8148428917
371	0.8087019006
372	0.804415221
373	0.7983193829
374	0.7922204053
375	0.78668409
376	0.7811974936
377	0.7761127238
378	0.7717157824
379	0.7657098235
380	0.7616432541
381	0.7561475987
382	0.7511500314
383	0.7456799746
384	0.7411405419
385	0.7365161896
386	0.7319221499
387	0.7273421775
388	0.7224102372
389	0.7175567786
390	0.7134296432
391	0.7094145589
392	0.7045451816
393	0.7006046949
394	0.6960944081
395	0.6912065516
396	0.6860362183
397	0.6825555138
398	0.6788879681
399	0.6741716701
400	0.6693990419
401	0.6654836392
402	0.6608668807
403	0.6571461057
404	0.6527568243
405	0.6482847013
406	0.6441158355
407	0.6396215836
408	0.6354382495
409	0.6314225083
410	0.6274228977
411	0.6249257055
412	0.6212566233
413	0.617031308
414	0.6132071541
415	0.6093054563
416	0.6052412257
417	0.6008231516
418	0.5968316469
419	0.5929960228
420	0.5890481363
421	0.5856845281
422	0.5815099307
423	0.5777565325
424	0.5740345696
425	0.5705086312
426	0.5668014842
427	0.5630876155
428	0.559785178
429	0.5568323326
430	0.5534489914
431	0.5511780092
432	0.5475058986
433	0.5442497516
434	0.5406850499
435	0.5376473557
436	0.5354945645
437	0.5320760557
438	0.52884174
439	0.5262566651
440	0.5229691597
441	0.5196800323
442	0.5166931294
443	0.5142557703
444	0.5112543085
445	0.5083169738
446	0.5054472121
447	0.5028767035
448	0.499536096
449	0.496507638
450	0.4934043531
451	0.4904239907
452	0.4875336444
453	0.484678399
454	0.4817224552
455	0.4801801518
456	0.4776134298
457	0.4753430534
458	0.4725849208
459	0.4699964759
460	0.4674591326
461	0.4650252154
462	0.4629000183
463	0.4601469748
464	0.4574747952
465	0.4560141809
466	0.4536686363
467	0.4510804727
468	0.4486668618
469	0.4461971504
470	0.4438706207
471	0.4412860169
472	0.4386278153
473	0.4360465191
474	0.4336803524
475	0.4314369056
476	0.4292555521
477	0.4272495443
478	0.4249224467
479	0.4227855154
480	0.4208650351
481	0.4185052374
482	0.4164938255
483	0.4146675492
484	0.4123906153
485	0.4102939443
486	0.4083548912
487	0.406190415
488	0.4045908421
489	0.4030722765
490	0.4009531781
491	0.3992845543
492	0.3974877435
493	0.3953899949
494	0.3937004992
495	0.3918937695
496	0.3900500906
497	0.3884051564
498	0.3864413516
499	0.3846032312
500	0.3833688504
501	0.3815438584
502	0.3796865122
503	0.377809547
504	0.3758842816
505	0.3742602703
506	0.3726370904
507	0.3713677928
508	0.3701179762
509	0.3683780175
510	0.3666482651
511	0.36503878
512	0.3639203328
513	0.3624140755
514	0.360705112
515	0.3590105343
516	0.3571939639
517	0.3553985728
518	0.3538726528
519	0.352402291
520	0.3509061253
521	0.3494760912
522	0.3479158512
523	0.3466019682
524	0.3454286448
525	0.3438088472
526	0.3423679905
527	0.3406173732
528	0.339136184
529	0.33768626
530	0.3359578269
531	0.3343276126
532	0.3327953576
533	0.3313674987
534	0.3301206756
535	0.3286216389
536	0.3272526371
537	0.3256668663
538	0.3243256366
539	0.3229632818
540	0.3213878627
541	0.3199653405
542	0.3187526571
543	0.3174219714
544	0.316055397
545	0.3148128493
546	0.3135284707
547	0.3122069541
548	0.3109367887
549	0.309643563
550	0.3083682213
551	0.3069281378
552	0.3055015808
553	0.3041336966
554	0.3027546877
555	0.3014935311
556	0.3003217656
557	0.2990865599
558	0.2977685294
559	0.2965459549
560	0.2952295461
561	0.2938897361
562	0.2926608925
563	0.2918286875
564	0.2905188383
565	0.2891892838
566	0.2880269135
567	0.2867487084
568	0.2856268634
569	0.2846075823
570	0.2838724837
571	0.282906055
572	0.2815764784
573	0.2804434208
574	0.2792459693
575	0.2781149198
576	0.2769248103
577	0.2758691921
578	0.2752116145
579	0.2742426826
580	0.2731082225
581	0.2720788274
582	0.2709866305
583	0.2699937774
584	0.2689797024
585	0.2680572198
586	0.2670403166
587	0.2659914609
588	0.2652616856
589	0.2643484045
590	0.2633789205
591	0.2626301419
592	0.2619500908
593	0.2609293921
594	0.2598533329
595	0.2588700809
596	0.2578543778
597	0.2568370996
598	0.2558572283
599	0.2549513037
600	0.2540670623
601	0.2532828253
602	0.2522564502
603	0.2513072952
604	0.2505995786
605	0.2499971519
606	0.2490524405
607	0.2482612965
608	0.2473311548
609	0.2463415872
610	0.2456524713
611	0.2450954891
612	0.2443138992
613	0.243485307
614	0.2425788521
615	0.24171542
616	0.2407435495
617	0.2398409987
618	0.2390142029
619	0.2382024891
620	0.2373414891
621	0.2364568156
622	0.2356413606
623	0.2347633576
624	0.2339619643
625	0.2331072884
626	0.2322935535
627	0.2314971549
628	0.2306238398
629	0.229787744
630	0.2290090547
631	0.2282013754
632	0.2273147007
633	0.2266047479
634	0.2259033409
635	0.2250588865
636	0.2242797721
637	0.2235039923
638	0.2226767538
639	0.2219189485
640	0.2212112597
641	0.2204290087
642	0.219632577
643	0.2189163391
644	0.2181815123
645	0.2174011476
646	0.2167053517
647	0.2160617037
648	0.2156290314
649	0.2149698266
650	0.214245001
651	0.2135822754
652	0.2129078244
653	0.2122041384
654	0.2114803027
655	0.2107989398
656	0.2100877721
657	0.2094531868
658	0.2087594489
659	0.208053891
660	0.2075706084
661	0.206870192
662	0.2063375464
663	0.2057438576
664	0.205324765
665	0.2046063383
666	0.2039146749
667	0.2034165153
668	0.2026971055
669	0.2021194974
670	0.2015304765
671	0.2009600252
672	0.2005168704
673	0.1999083856
674	0.1993811993
675	0.1987613255
676	0.1981726096
677	0.19771251
678	0.1970902655
679	0.1964833643
680	0.1959608067
681	0.1952758707
682	0.1949049995
683	0.1942855014
684	0.1936815108
685	0.1930550343
686	0.19246037
687	0.191959299
688	0.1913810084
689	0.1908081806
690	0.1902061927
691	0.1896031045
692	0.1890283707
693	0.1883980545
694	0.1879436352
695	0.1873897714
696	0.1869400569
697	0.1863880789
698	0.185831379
699	0.1852589823
700	0.1847945149
701	0.1842764773
702	0.1837275291
703	0.1831656118
704	0.1826055416
705	0.182241371
706	0.1817146391
707	0.181170893
708	0.1805936066
709	0.1801754724
710	0.1798034697
711	0.1792528681
712	0.1788183294
713	0.1782733261
714	0.1779626632
715	0.1774340379
716	0.1769409275
717	0.17651904
718	0.176063724
719	0.1755920733
720	0.1750930613
721	0.1746193776
722	0.1742722803
723	0.1737383906
724	0.1734580985
725	0.1730294611
726	0.1725793457
727	0.1720721229
728	0.1715684148
729	0.1710326114
730	0.1705764344
731	0.1701637246
732	0.1697074934
733	0.169302569
734	0.1688651698
735	0.168448875
736	0.1679272189
737	0.1674308439
738	0.1670206272
739	0.1665789609
740	0.1661273109
741	0.165673975
742	0.1652351028
743	0.1647806286
744	0.1643093477
745	0.1638702187
746	0.16342044
747	0.1629685996
748	0.1625513144
749	0.1620916338
750	0.1616783506
751	0.1613308471
752	0.1609787663
753	0.1605556617
754	0.1601884233
755	0.1597577776
756	0.1593298062
757	0.1589182282
758	0.1584648369
759	0.1581087578
760	0.1577895917
761	0.1573538905
762	0.1569479585
763	0.1565672073
764	0.1563110473
765	0.1558850269
766	0.1554338426
767	0.1551132131
768	0.1546753001
769	0.1542741209
770	0.1539518346
771	0.1535396625
772	0.1531252826
773	0.1527183103
774	0.1523274202
775	0.1519668573
776	0.1515674308
777	0.1512494729
778	0.1509134109
779	0.1506810308
780	0.1503139247
781	0.1499163185
782	0.1495649602
783	0.1492304379
784	0.1489201627
785	0.1486106914
786	0.1483102603
787	0.1479625252
788	0.1476652986
789	0.1473228416
790	0.1469553637
791	0.146604923
792	0.1462326477
793	0.1459028207
794	0.1455048795
795	0.1451489089
796	0.1448106071
797	0.1445110217
798	0.1442062998
799	0.1439019276
800	0.1435765627
801	0.1432346497
802	0.1428983545
803	0.1426626198
804	0.1423246179
805	0.1420148381
806	0.1416543835
807	0.1412943268
808	0.1409856183
809	0.1406538124
810	0.1404123489
811	0.1401405963
812	0.1398110372
813	0.139519454
814	0.1392577671
815	0.1389305965
816	0.138572112
817	0.1383068343
818	0.1380171238
819	0.1377097909
820	0.1374645139
821	0.1371923441
822	0.1368922443
823	0.1365969427
824	0.1362815307
825	0.1359743589
826	0.1356754841
827	0.1353561465
828	0.1350227583
829	0.1347488242
830	0.1345036044
831	0.1342335545
832	0.1339439354
833	0.1336959949
834	0.1334136507
835	0.1331749309
836	0.1329404255
837	0.1326372214
838	0.1323413443
839	0.1320371333
840	0.1317791798
841	0.1316145433
842	0.1313281844
843	0.1310111964
844	0.1307599826
845	0.1304973733
846	0.1302229206
847	0.1299760234
848	0.1297463833
849	0.1295067182
850	0.1292281638
851	0.1289651509
852	0.1286793527
853	0.1283970263
854	0.1281404271
855	0.1279396078
856	0.1276559984
857	0.1273722825
858	0.1271583379
859	0.126892456
860	0.1266317166
861	0.1263548831
862	0.1260764392
863	0.1258144144
864	0.1255775287
865	0.1253424814
866	0.1250806884
867	0.1248056939
868	0.1245290175
869	0.124287686
870	0.1240168241
871	0.1237354647
872	0.1234785355
873	0.1231802087
874	0.1229499904
875	0.1227074775
876	0.1224437814
877	0.1221596068
878	0.121900083
879	0.1216383274
880	0.1213967311
881	0.1211415888
882	0.1209515017
883	0.1207315982
884	0.1204748678
885	0.1202182073
886	0.1199617717
887	0.1197275258
888	0.1194792043
889	0.119210986
890	0.1189793818
891	0.1187287961
892	0.1185064362
893	0.1183223198
894	0.1180489727
895	0.1178139149
896	0.1175698793
897	0.1173552708
898	0.1171528389
899	0.1169442938
900	0.1167064169
901	0.1164543379
902	0.1161984908
903	0.1160020856
904	0.115881054
905	0.1156829697
906	0.1154381172
907	0.1151989579
908	0.1149782194
909	0.1147564223
910	0.1145231923
911	0.114314194
912	0.1141042652
913	0.1138960521
914	0.113675398
915	0.1134613165
916	0.1132751474
917	0.1130613649
918	0.1128691883
919	0.1126618351
920	0.1124335026
921	0.112218342
922	0.111987613
923	0.1117764688
924	0.1116124294
925	0.1114030768
926	0.1111610344
927	0.1109432215
928	0.1107241269
929	0.1105072562
930	0.1102815684
931	0.1100923799
932	0.1099334604
933	0.1097324769
934	0.1095653494
935	0.1093398968
936	0.1091617943
937	0.1089509735
938	0.1087414853
939	0.1085755395
940	0.1083960618
941	0.1081938863
942	0.1079901982
943	0.1078336108
944	0.1076227963
945	0.1074521676
946	0.107295818
947	0.1071436679
948	0.1069426203
949	0.1067572535
950	0.1065674391
951	0.1063737465
952	0.1061891185
953	0.1059747909
954	0.1058007702
955	0.1055821308
956	0.1054359864
957	0.1052468511
958	0.1050520879
959	0.1048840465
960	0.1047011392
961	0.1045070089
962	0.1043145469
963	0.1041520218
964	0.10399179
965	0.1038014323
966	0.1036346971
967	0.1034714922
968	0.103300823
969	0.1031133777
970	0.1029322673
971	0.1027523155
972	0.1026172673
973	0.1024454811
974	0.1022573646
975	0.1020640783
976	0.1019150679
977	0.1017355233
978	0.1015636597
979	0.1013867302
980	0.1012057161
981	0.1010435219
982	0.1008566336
983	0.1006898085
984	0.1005010793
985	0.1003090243
986	0.1001240191
987	0.0999562641
988	0.09977652166
989	0.09960847382
990	0.09944745321
991	0.09930080771
992	0.09914430334
993	0.09895882244
994	0.09877534595
995	0.09860541501
996	0.09843375275
997	0.09823703592
998	0.0980662305
999	0.09798656272
